14,16,25,26,27,35,48
2,5,30,32,45,46,51
4,18,40,45,52,56,7
8,43,46,48,53,55,10
12,24,32,49,52,56,37
6,9,11,17,32,58,39
6,7,32,45,48,52,28
4,17,25,31,42,45,50
8,20,33,36,42,57,40
13,14,15,37,52,54,42
12,16,33,42,50,59,3
13,29,37,43,51,58,12
4,10,22,34,40,54,56
2,13,22,30,53,55,33
11,15,16,29,37,55,51
1,3,7,24,30,41,8
5,20,28,50,54,57,33
4,14,21,29,35,53,38
9,16,22,28,49,50,24
8,13,29,30,37,53,14
17,28,31,32,39,59,49
6,9,10,12,49,56,53
10,25,32,44,51,58,52
5,8,15,40,51,53,24
16,31,32,37,40,45,46
6,10,17,21,29,44,53
7,14,16,29,45,56,40
29,32,34,37,52,57,20
5,15,26,51,55,57,25
7,12,32,37,38,50,55
6,10,13,31,33,39,41
3,28,30,37,49,54,59
13,24,35,50,57,58,5
10,14,18,22,33,57,44
7,11,32,37,47,51,49
8,12,22,30,41,44,32
11,15,16,25,44,47,17
20,30,33,36,38,57,13
27,29,31,38,51,52,41
4,22,25,53,54,58,14
7,11,14,21,40,48,3
6,10,20,30,43,46,39
8,16,17,25,40,54,1
10,14,18,30,33,55,54
3,10,12,38,57,58,55
23,25,31,38,43,44,52
7,9,26,29,50,55,2
7,11,13,26,34,39,37
15,24,29,34,39,54,3
24,29,42,43,47,53,59
18,33,35,46,51,59,23
1,6,19,26,40,41,35
16,19,20,40,51,55,36
6,7,15,31,51,53,21
6,7,19,22,27,40,38
5,16,35,47,49,55,28
10,11,32,34,35,46,50
2,26,32,35,44,52,37
22,25,35,37,44,52,31
17,26,31,39,47,50,41
21,24,31,35,45,54,44
8,12,21,51,54,56,26
4,15,28,29,30,55,31
1,2,25,38,46,49,51
7,10,14,15,22,31,26
1,2,26,33,40,41,16
3,19,27,43,50,53,29
6,18,30,34,35,56,39
11,27,29,40,51,58,2
5,8,11,33,48,57,43
1,12,30,37,44,49,59
1,22,28,30,45,49,19
3,13,19,31,32,34,27
13,22,24,26,27,50,21
15,18,39,45,52,53,56
1,4,6,13,14,35,45
15,28,31,49,50,57,45
6,10,12,27,52,54,51
2,5,13,18,28,36,45
7,8,12,21,37,45,4
